,Run,Batch Size,Epochs,Model Name,Model alternative,Optimizer,Time steps,Uni/Multi,RMSE
237,238,52,40,Model 238,1,nadam,104,Multivariate,22.796488881584526
238,239,52,100,Model 239,1,nadam,104,Univariate,34.61753804912868
239,240,52,100,Model 240,1,nadam,104,Multivariate,31.016832174160538
240,241,104,10,Model 241,1,adam,1,Univariate,31.553616573083264
241,242,104,10,Model 242,1,adam,1,Multivariate,35.795195367574735
242,243,104,40,Model 243,1,adam,1,Univariate,33.616260817857814
243,244,104,40,Model 244,1,adam,1,Multivariate,21.319932432187997
244,245,104,100,Model 245,1,adam,1,Univariate,32.02311843436194
245,246,104,100,Model 246,1,adam,1,Multivariate,34.56745795071465
246,247,104,10,Model 247,1,adam,4,Univariate,34.97458680987213
247,248,104,10,Model 248,1,adam,4,Multivariate,36.52572348098913
248,249,104,40,Model 249,1,adam,4,Univariate,31.884831363013262
249,250,104,40,Model 250,1,adam,4,Multivariate,29.458215841280058
250,251,104,100,Model 251,1,adam,4,Univariate,30.32583225883054
251,252,104,100,Model 252,1,adam,4,Multivariate,24.374020242719485
252,253,104,10,Model 253,1,adam,52,Univariate,33.34134053719105
253,254,104,10,Model 254,1,adam,52,Multivariate,23.62449475883253
254,255,104,40,Model 255,1,adam,52,Univariate,33.345113662683175
255,256,104,40,Model 256,1,adam,52,Multivariate,33.69718730023188
256,257,104,100,Model 257,1,adam,52,Univariate,33.92647867964644
257,258,104,100,Model 258,1,adam,52,Multivariate,23.09554069736942
258,259,104,10,Model 259,1,adam,104,Univariate,35.873078458443246
259,260,104,10,Model 260,1,adam,104,Multivariate,47.40214893575208
260,261,104,40,Model 261,1,adam,104,Univariate,34.53097089860877
261,262,104,40,Model 262,1,adam,104,Multivariate,28.91964181439434
262,263,104,100,Model 263,1,adam,104,Univariate,32.56101848265094
263,264,104,100,Model 264,1,adam,104,Multivariate,23.308281789319068
264,265,104,10,Model 265,1,nadam,1,Univariate,35.68708000792913
265,266,104,10,Model 266,1,nadam,1,Multivariate,20.417959684032343
266,267,104,40,Model 267,1,nadam,1,Univariate,32.27313963084402
267,268,104,40,Model 268,1,nadam,1,Multivariate,19.43825279146752
268,269,104,100,Model 269,1,nadam,1,Univariate,33.24506765586339
269,270,104,100,Model 270,1,nadam,1,Multivariate,28.295279550756597
270,271,104,10,Model 271,1,nadam,4,Univariate,29.803271674835056
271,272,104,10,Model 272,1,nadam,4,Multivariate,37.65594838917318
272,273,104,40,Model 273,1,nadam,4,Univariate,34.369647252222634
273,274,104,40,Model 274,1,nadam,4,Multivariate,20.368773536911313
274,275,104,100,Model 275,1,nadam,4,Univariate,32.39942500396832
275,276,104,100,Model 276,1,nadam,4,Multivariate,20.76517315494792
276,277,104,10,Model 277,1,nadam,52,Univariate,29.251352263018834
277,278,104,10,Model 278,1,nadam,52,Multivariate,26.0265794877959
278,279,104,40,Model 279,1,nadam,52,Univariate,28.55138932018692
279,280,104,40,Model 280,1,nadam,52,Multivariate,37.766295636181894
280,281,104,100,Model 281,1,nadam,52,Univariate,27.61231842781624
281,282,104,100,Model 282,1,nadam,52,Multivariate,36.820212528294846
282,283,104,10,Model 283,1,nadam,104,Univariate,33.640911109064
283,284,104,10,Model 284,1,nadam,104,Multivariate,24.205371977857066
284,285,104,40,Model 285,1,nadam,104,Univariate,38.61390373885952
285,286,104,40,Model 286,1,nadam,104,Multivariate,17.2151798542794
286,287,104,100,Model 287,1,nadam,104,Univariate,32.710079048622966
287,288,104,100,Model 288,1,nadam,104,Multivariate,23.941749717895416
